timestamp,ax,ay,az,gx,gy,gz
102,-32768,13288,-12064,5339,3106,-21747
123,-32768,16776,-14680,7299,2717,-29987
146,-30764,20696,-12576,8738,-2946,-32768
167,-19820,21352,-8528,7592,-9749,-32768
189,-8816,18064,-9128,5646,-6706,-32768
211,644,14176,-10900,5588,-98,-32768
234,7036,8240,-12092,5150,-2424,-32768
250,11224,2020,-12920,4435,-6064,-26695
276,12000,-3464,-14784,5599,-358,-18847
300,6556,-5276,-13944,8044,8173,-12199
321,544,-5152,-11236,8831,5577,-8615
341,-1796,-6744,-8192,8491,-1331,-6716
365,-4428,-8348,-2804,8419,-1904,-4766
379,-8736,-7988,5196,7072,-412,-3621
410,-12656,-6748,12408,2801,-2988,-3673
429,-12960,-6532,18384,-3540,-7282,-4054
454,-11008,-4896,24792,-11719,-10720,-3687
475,-6096,-2388,26556,-21412,-11623,-1776
497,-1068,1980,23244,-30754,-11714,2426
519,1288,8420,17452,-32768,-11873,8363
541,260,14236,7780,-32768,-11325,14687
563,-4228,17216,-3812,-32768,-7303,19143
586,-9996,20500,-13468,-32768,-2062,20566
608,-16632,22160,-21048,-32768,-5520,20070
629,-22936,22572,-28456,-31254,-5709,17571
652,-26404,21280,-32644,-24076,-7920,13637
673,-26932,20624,-32768,-16688,-9082,9203
697,-23440,20568,-32136,-10165,-10036,5282
718,-16876,20068,-31556,-3859,-10392,3293
739,-9512,19292,-30744,2743,-9424,3807
760,-3332,17988,-28188,9616,-7916,6575
784,0,17732,-23424,15907,-6542,10578
803,1936,18616,-17060,20711,-6221,14621
824,3540,20384,-11424,23567,-7715,18635
847,5252,21236,-7616,24988,-10395,22702
868,4528,21680,-5980,26574,-7742,27051
893,-712,22608,-4176,27874,-1610,30976
915,-6732,22968,-2580,28008,-2620,32767
936,-13024,23548,-172,28089,-2142,32767
952,-21660,23664,2696,26992,2397,31667
981,-30748,23020,5756,23921,2555,27297
1002,-32768,21248,9208,19166,526,19969
1024,-32768,18584,10620,13683,-1819,10724
1045,-32768,16812,8132,8558,-1767,928
1068,-32768,16988,2752,5012,-1478,-8925
1090,-32768,17848,-4036,3951,1171,-17900
1112,-32768,19448,-11752,5398,5897,-26285
1134,-32768,24800,-18732,9556,8519,-32768
1156,-32768,32312,-20368,14665,3537,-32768
1173,-30580,32767,-12700,17612,-4758,-32768
1202,-14288,32767,-3244,15313,-12584,-32768
1221,4560,32767,2956,8485,-18053,-32768
1246,20768,21312,2260,217,-19324,-32768
1267,29156,8308,-4876,-4680,-12330,-32768
1290,28344,-92,-11476,-5170,-1888,-24306
1312,22060,-3088,-15628,-3719,4495,-12786
1333,12480,-4624,-18712,-1545,6129,-4818
1351,3272,-4964,-20044,1219,5656,-739
1375,-1576,-5664,-18488,4138,3467,860
1399,-4116,-6824,-13320,6641,1108,1983
1421,-7168,-8020,-4316,7352,-1100,3123
1440,-11072,-7892,5580,5526,-1410,3561
1463,-14500,-7788,14396,968,-1600,3571
1488,-16260,-6864,22176,-6031,-3795,3206
1508,-14544,-5004,24992,-14577,-6526,3051
1531,-11920,-1592,23696,-23338,-7555,4160
1553,-10844,2832,13964,-30727,-3836,5976
1575,-10844,6784,-24,-32768,-448,7170
1598,-12492,9092,-12880,-32768,-81,7851
1618,-14908,10764,-21192,-30045,-2805,7656
1641,-17136,11728,-27188,-25037,-4117,6780
1663,-18960,12340,-30640,-19288,-2547,5156
1680,-18904,12332,-32032,-13845,-3027,2953
1708,-16412,12236,-32104,-8546,-5128,1308
1729,-12176,11524,-31196,-2906,-4624,994
1752,-7916,10188,-28080,2463,-3396,2265
1773,-4164,9564,-23124,6590,-4475,4856
1795,-724,9448,-18104,9466,-4750,8455
1817,1596,10140,-14220,11794,-1741,13127
1840,2020,11176,-13300,13384,-176,18136
1862,44,11796,-12852,15163,1661,22971
1884,-4648,12336,-12256,17004,4470,26256
1905,-11148,12760,-11768,18581,5889,27483
1928,-15868,12084,-9636,19804,3137,26808
1945,-19124,11536,-4348,20078,469,25309
1969,-23116,11668,1208,18300,2506,23019
1994,-27276,10920,4196,14825,2448,19875
2015,-32144,9492,3940,10842,2559,15435
2036,-32768,7580,1012,7706,3255,9467
2059,-32768,7732,-3512,6221,5439,1735
2079,-32768,11052,-7560,6002,5583,-8028
2102,-32768,13304,-11024,6432,2217,-18948
2124,-32768,16520,-13092,7623,300,-29116
2147,-32768,20328,-12836,8479,-4204,-32768
2162,-19224,20532,-9500,8322,-8713,-32768
2191,-3576,16020,-5748,6671,-8195,-32768
2211,7676,9640,-4292,4041,-6438,-32768
2235,13712,3916,-7292,1660,-4026,-27997
2256,13804,-324,-11372,847,457,-19352
2279,11200,-3544,-15868,1911,5036,-11826
2301,5780,-4544,-18948,4412,8142,-6415
2323,340,-5412,-19760,7690,7043,-3168
2345,-4952,-6500,-16164,11022,4765,-1356
2367,-10720,-6948,-8260,13295,3690,-983
2390,-15352,-7340,3708,12883,-504,-1633
2411,-18024,-7168,17180,8867,-7500,-2803
2434,-18660,-6252,32767,515,-13782,-4772
2456,-12668,-4460,32767,-12950,-18780,-5021
2468,-3336,580,32767,-28636,-19212,-1496
2500,2320,7896,28480,-32768,-10970,5528
2521,784,16400,13504,-32768,-2539,12634
2541,-6420,22900,-4884,-32768,1427,16436
2564,-13644,24808,-24944,-32768,-231,16331
2588,-20264,22904,-32768,-32768,-6034,14018
2601,-24192,20520,-32768,-27318,-7926,10732
2631,-24428,18472,-32768,-16293,-6166,6823
2652,-20708,17824,-32768,-7090,-8162,3358
2675,-14212,17688,-32768,159,-10454,1466
2697,-5204,16644,-30112,6439,-9990,2189
2719,4112,14460,-24232,11577,-9654,6088
2741,10404,13916,-17860,16089,-7819,12987
2763,11972,16112,-12068,19095,-6584,21167
2785,9772,19456,-8784,20919,-4773,28555
2807,4600,21852,-7600,22091,-1963,32767
2830,-728,23456,-7504,23205,-2492,32767
2851,-5464,25576,-5960,24588,-3481,32767
2874,-12464,27348,-3332,25507,-702,32767
2895,-22056,28696,-748,24875,2784,32767
2917,-32620,27400,1384,22604,2110,32767
2939,-32768,24400,3476,19511,273,25154
2961,-32768,21456,4932,15959,-713,14671
2983,-32768,19656,6108,12062,-2072,2926
3006,-32768,20072,4756,8431,-3489,-8976
3027,-32768,20416,-172,6071,-3564,-19605
3046,-32768,21092,-7804,6060,1111,-29128
3071,-32768,26056,-15216,8652,4433,-32768
3094,-32768,32448,-13072,11833,-2759,-32768
3115,-29420,32767,-6848,10973,-8766,-32768
3137,-16036,32767,-2472,8844,-8031,-32768
3156,-984,31572,-3432,4594,-11149,-32768
3181,14272,23292,-6076,-401,-15653,-32768
3203,27812,9896,-11724,-2803,-11966,-32768
3225,32767,-1420,-13784,-1311,-1554,-27650
3247,26696,-4928,-12064,447,5116,-13922
3269,17572,-4836,-12500,331,3322,-4267
3292,7292,-5004,-13728,1411,5439,1593
3312,-648,-5516,-13324,2654,7344,4145
3335,-5516,-6156,-11968,3670,6196,5247
3358,-8016,-7520,-8180,4529,2151,6180
3379,-12012,-8044,-2904,4835,1065,6526
3402,-15768,-8468,3600,3635,1160,5714
3423,-17784,-7988,10712,19,-1631,4283
3445,-16720,-7504,16876,-5365,-4848,3270
3467,-13392,-6400,20128,-12320,-6882,3691
3486,-10876,-3320,20460,-19421,-4783,5613
3512,-9680,1356,17520,-26925,-5698,8013
3534,-10176,6068,9812,-32768,-5444,10541
3556,-12500,10136,-2996,-32768,-1082,11682
3577,-14716,11464,-16324,-32768,2211,11006
3595,-16908,12252,-24300,-29409,-2279,9537
3622,-19272,12472,-28552,-23611,-5778,7754
3642,-19800,12764,-29288,-17476,-3627,5505
3656,-18064,13520,-29116,-12160,-2567,3601
3688,-15200,14372,-28820,-7771,-5556,2875
3709,-12200,13540,-28580,-3127,-6981,3149
3731,-8276,12332,-27456,2309,-3570,4281
3753,-4864,11776,-24556,7287,-2420,6491
3775,-2032,12240,-20540,11165,-4135,9536
3797,828,13168,-17256,14169,-4431,13246
3820,2760,13016,-15848,17313,-1214,17777
3841,700,13564,-13836,20302,3483,22434
3863,-3444,13936,-9972,21822,1608,25571
3885,-7360,14044,-4888,22166,-774,27353
3907,-12104,13944,-928,21434,2380,28311
3929,-17780,13096,1012,19389,4573,28317
3951,-25056,12788,2284,16929,4746,26481
3973,-32768,12332,3396,14314,6792,22267
3995,-32768,12236,2604,11113,8457,14306
4017,-32768,13072,984,7693,3929,2227
4039,-32768,15172,-1864,5112,1405,-11493
4061,-32768,18108,-7636,4267,1800,-24980
4084,-32768,23176,-14292,6209,2851,-32768
4105,-32768,31740,-13720,9150,-1888,-32768
4127,-20512,29556,-8216,7985,-13255,-32768
4150,-2984,25476,-4520,4379,-13168,-32768
4169,14224,18180,-3752,645,-9996,-32768
4190,25460,6996,-8792,-2848,-9166,-32768
4214,27732,-1172,-16156,-2929,-3085,-21736
4235,21740,-4840,-20672,570,8157,-10103
4257,11604,-5000,-21168,3951,11874,-2413
4279,4128,-5164,-20616,6607,7949,1534
4304,-1600,-6592,-17868,9854,5325,3808
4325,-7308,-7164,-9476,12583,6757,4756
4347,-13344,-7152,2536,12501,5623,4360
4369,-17812,-6964,15096,8129,-2253,2669
4391,-20012,-6768,24752,922,-8053,467
4413,-17564,-6200,32624,-8058,-8891,-1240
4436,-11872,-2920,32767,-19762,-12600,-1022
4457,-5188,2176,30024,-31205,-13843,2379
4474,-1548,8888,20784,-32768,-9857,8040
4501,-2032,15172,9128,-32768,-6212,13862
4524,-6548,20872,-4708,-32768,-5356,17865
4546,-12364,23804,-16736,-32768,-3310,19323
4567,-18044,24676,-26784,-32768,-3263,18230
4590,-23164,23376,-32768,-29168,-4679,15604
4611,-26036,22960,-32768,-20723,-7522,11620
4634,-24648,22336,-32768,-13092,-10010,7424
4651,-19216,21620,-32380,-6328,-10976,4357
4677,-10996,21084,-29860,-18,-11799,3748
4699,-3700,20084,-27372,6271,-12044,5939
4722,2056,18600,-25040,12735,-9758,10064
4741,5772,17456,-21484,18950,-7691,14963
4762,7692,18584,-15192,23471,-8167,19758
4787,9008,20652,-8044,26131,-9931,24512
4807,8200,21708,-1704,27245,-8757,29495
4830,2896,23128,3020,27118,-2073,32767
4853,-4640,25836,5124,25131,405,32767
4875,-15160,27172,4844,23098,1238,32767
4896,-27504,26552,4452,20916,3349,32767
4919,-32768,25332,4312,18222,5213,28035
4941,-32768,23696,4336,14472,2274,16419
4963,-32768,22848,4024,10690,-2752,2912
4978,-32768,23308,984,7715,-3163,-9693
5007,-32768,24212,-3912,6546,-1914,-20682
5029,-32768,26108,-9820,7654,1828,-30361
5052,-32768,30480,-12780,10867,3897,-32768
5074,-32768,32767,-11456,12777,-1065,-32768
5095,-31164,32767,-7496,12122,-7129,-32768
5117,-18396,32767,-4660,10162,-8766,-32768
5140,-2996,32767,-3396,6662,-11354,-32768
5159,11156,29364,-3412,2052,-14153,-32768
5183,23216,16748,-8564,-1986,-12860,-32768
5205,29940,4452,-13248,-1076,-1669,-32768
5223,28268,-3372,-14744,912,4401,-20636
5250,20452,-5380,-12904,2433,5527,-9150
5271,13232,-5036,-10856,2854,3969,-1782
5293,9060,-6300,-8160,3195,4054,3707
5314,3612,-7180,-3248,2799,4858,8023
5328,-2288,-7996,2632,1574,5191,11030
5358,-9424,-7592,11672,-797,3935,12547
5382,-15816,-5852,20724,-6125,-1522,12311
5401,-18444,-3604,25460,-13414,-3230,11049
5417,-18296,-344,24544,-21381,-1052,9807
5448,-17404,3760,18104,-29059,-2917,8958
5470,-16212,8480,7436,-32768,-6964,8543
5484,-16072,11632,-5100,-32768,-5752,8187
5514,-15284,13372,-15816,-32768,-2694,7577
5536,-15752,13816,-22560,-30633,-5090,7084
5557,-16980,15292,-25740,-25725,-6513,6511
5579,-17992,16196,-27364,-20569,-4627,5556
5602,-17196,17168,-29180,-15553,-4709,4371
5624,-15008,17272,-31420,-10046,-6298,3763
5645,-11448,16408,-32112,-3561,-6650,3921
5667,-6748,15540,-29904,3454,-5642,5465
5690,-3672,14732,-25188,9604,-4489,8340
5712,-1828,15668,-19332,14219,-4097,11560
5734,-184,16440,-14344,17324,-4795,15078
5755,1188,16484,-11500,19548,-4378,18840
5773,1112,16568,-8964,21649,-2532,22955
5796,-1044,17212,-5992,23024,-1613,26663
5821,-5336,17100,-2836,23331,-1854,29370
5843,-10492,16596,-544,23150,248,31018
5856,-18192,16668,856,22490,5453,31313
5887,-27560,17332,2352,20408,7230,28827
5909,-32768,15724,3756,17179,5645,22986
5931,-32768,14500,4052,13201,5266,14068
5953,-32768,14308,2524,9388,4693,3110
5975,-32768,15944,-84,6431,2507,-9118
5997,-32768,18304,-4196,5115,2504,-20889
6020,-32768,21868,-9004,5473,2884,-31973
6040,-32768,26576,-11488,6627,-1398,-32768
6063,-27632,31068,-10808,6964,-6964,-32768
6085,-10792,29912,-7792,6087,-8824,-32768
6107,5956,22164,-4660,3447,-10110,-32768
6129,19676,13208,-4096,-530,-10689,-32768
6151,23896,4740,-7384,-3190,-6188,-25774
6173,19976,-320,-12708,-2969,1876,-13965
6195,11240,-1968,-16092,-1127,7600,-5749
6218,2252,-2456,-18376,745,6365,-1448
6239,-5712,-2512,-18788,3349,5478,43
6262,-12072,-2780,-16800,5975,5250,-164
6284,-15188,-3720,-12052,8415,4720,-1589
6303,-15472,-5484,-3264,9012,1018,-2815
6318,-14976,-6168,7064,6880,-3231,-3500
6346,-12788,-6640,17060,2178,-5360,-3477
6371,-9068,-6592,24244,-5387,-7615,-2290
6391,-5620,-4892,27416,-14544,-9373,487
6414,-3880,-920,24944,-23465,-9464,4432
6435,-4808,4284,19484,-30260,-6757,8636
6458,-7412,9944,11572,-32768,-3297,11899
6479,-10424,15464,2736,-32768,-3700,13695
6503,-12852,19380,-7064,-32768,-6419,14450
6524,-16040,22112,-16844,-32768,-4977,14176
6546,-18980,22224,-26272,-31609,-3983,12599
6569,-20052,21812,-32472,-24877,-7352,10476
6592,-20128,22392,-32768,-17313,-10653,8558
6612,-18416,22140,-32768,-9132,-8203,6773
6635,-14524,22144,-32768,-789,-6734,5775
6657,-10192,21420,-31696,7035,-9049,5970
6678,-5212,20548,-26644,14019,-9287,7199
6701,248,19992,-20972,20069,-8213,9778
6722,4416,20296,-14912,24765,-7393,13828
6745,5876,21544,-8520,27785,-6592,18692
6767,4716,22208,-3380,29457,-5935,23511
6789,-1056,22220,-648,29781,-944,27765
6808,-7776,21664,-472,29755,1658,30496
6832,-15644,22248,576,29638,2205,31021
6853,-24868,22668,4780,28412,3917,29121
6878,-32768,21712,9376,24631,3141,24072
6895,-32768,18676,11352,19184,1147,16431
6912,-32768,16932,10784,13029,-1732,6861
6940,-32768,15552,6244,7974,-3301,-3316
6964,-32768,15084,-588,5430,-3353,-12323
6978,-32768,16304,-7484,5789,1973,-19991
7009,-32768,18768,-16336,8367,5221,-28236
7032,-32768,27908,-21924,12825,2710,-32768
7045,-32768,32724,-18336,16432,-7113,-32768
7076,-22196,32767,-10548,17924,-6397,-32768
7096,-8084,31844,-2096,16445,-6431,-32768
7119,7228,23364,4388,10025,-16672,-32768
7140,20224,12292,2064,2261,-21106,-32768
7163,29672,-480,-2808,-322,-8466,-30777
7185,29360,-7216,-3984,-1373,-284,-16604
7207,19276,-7024,-5652,-2607,3142,-5005
7228,6780,-6112,-7868,-3328,3972,1606
7251,-3756,-6560,-10532,-2818,2846,4316
7267,-12220,-6384,-10312,-999,2353,4260
7295,-16936,-6992,-6556,490,170,2214
7318,-19704,-7012,-796,357,-2464,-164
7339,-19948,-6388,4384,-1574,-3757,-1729
7362,-18312,-6480,8720,-4783,-4969,-2722
7384,-14036,-6312,12492,-8907,-6121,-2853
7405,-8912,-5256,16688,-14154,-8272,-1229
7424,-5508,-1744,20260,-20871,-10632,2648
7448,-5912,3768,19428,-28398,-7116,7780
7468,-9444,9428,9712,-32768,2226,11097
7490,-13624,13264,-752,-32768,3585,11419
7515,-16488,15840,-12016,-32768,-3330,10235
7536,-18440,16636,-22012,-32768,-6824,8573
7557,-18780,16620,-28728,-28407,-5858,6626
7580,-18184,15968,-32768,-21775,-4003,4913
7602,-16688,14556,-32768,-15388,-7248,3731
7625,-14608,12880,-31976,-8895,-7773,3341
7639,-11600,10524,-27936,-2597,-6469,3394
7668,-7040,8368,-20208,2155,-8850,4046
7692,-2592,7300,-10996,4768,-10005,6207
7706,-200,8088,-5120,5285,-7905,9859
7735,-200,10072,-4856,5070,-6689,14155
7756,220,12756,-8992,5975,-7640,17807
7774,2496,16024,-14512,9039,-7813,21825
7801,-2244,20616,-19368,13871,-702,26138
7823,-10148,24600,-22612,18695,128,27672
7845,-16800,24568,-22856,24422,-5320,26112
7867,-20140,23940,-17472,30394,-5385,22684
7889,-22516,24272,-7916,32767,-862,19529
7911,-24852,23880,2672,32767,-682,16695
7934,-26588,20960,11996,30250,-2067,13679
7955,-29336,16280,16820,24641,578,10734
7973,-32676,12976,16572,18274,1183,6853
7999,-32768,11012,13820,12618,1022,1178
8022,-32768,11348,8916,7765,1158,-6962
8043,-32768,13504,1896,4848,1882,-16798
8063,-32768,18040,-6124,3863,314,-28083
8086,-32768,23232,-11544,4848,-3381,-32768
8109,-29380,25828,-11716,6061,-7836,-32768
8131,-12864,25436,-9040,6695,-7661,-32768
8153,4864,17664,-3720,4929,-10560,-32768
8174,19156,8988,-676,412,-13809,-32768
8196,24904,924,-1984,-3435,-10173,-24129
8218,23416,-3768,-5132,-4902,-1339,-11341
8241,12644,-3928,-8296,-5073,5198,-1585
8263,-592,-2040,-13576,-4726,7076,2968
8278,-9148,-1552,-19804,-2438,5256,3669
8307,-14688,-1700,-21868,1782,3700,2794
8329,-18428,-2016,-19496,5989,3402,970
8351,-20824,-2224,-15032,9001,3361,-1372
8372,-20844,-3424,-7620,10575,1679,-3762
8390,-17056,-4980,3272,10120,-2158,-5379
8418,-13000,-5952,16464,6531,-5238,-5513
8439,-7292,-7112,26924,-932,-5912,-3623
8461,-2244,-6164,32767,-10561,-3960,420
8480,-916,-2260,31480,-21682,-3214,5572
8505,-3260,3288,20616,-29680,1253,9889
8526,-7116,7876,8648,-32768,2620,12630
8545,-13572,11232,-3380,-32768,-760,13560
8571,-18604,14556,-14760,-32768,-2179,12347
8592,-21196,14832,-25072,-28854,-1623,9933
8615,-21708,13284,-31576,-22363,-2117,6909
8635,-19876,13520,-32212,-15660,-4171,4436
8651,-17068,13516,-30624,-9824,-3936,3275
8681,-13988,13876,-29680,-4632,-3729,3033
8703,-10740,13876,-29448,853,-1722,3773
8723,-8224,13452,-27760,6458,-1150,5298
8747,-5560,12932,-24168,11694,-1276,7355
8769,-2784,13860,-18880,15817,-1414,10187
8791,-2692,15112,-14348,18619,-905,13665
8813,-5704,15708,-11824,20562,1997,16358
8835,-7748,14384,-10448,21916,833,17889
8857,-8964,13040,-8404,22946,-1058,18740
8879,-11624,11424,-4972,23717,361,19496
8901,-17092,10852,-980,23794,3272,19619
8923,-23692,9104,3180,22433,3744,18397
8940,-30588,8296,7388,19525,4657,15232
8968,-32768,7716,9468,15173,3787,10074
8989,-32768,7872,8888,10672,1915,2469
9011,-32768,7828,6552,6683,-1032,-6306
9033,-32768,8664,3588,4021,-1135,-14334
9051,-32768,9924,-128,2241,-523,-21508
9078,-32768,12296,-4196,1241,-1622,-28048
9099,-29300,15272,-6332,159,-6610,-32768
9118,-17764,14880,-7168,-1238,-9788,-32768
9142,-6404,11192,-10684,-1334,-5206,-32768
9156,1532,7336,-13492,-223,-1097,-30147
9186,6432,3740,-16448,859,-1461,-24088
9208,6508,-456,-19204,2673,147,-17396
9230,1044,-3064,-20768,6045,6040,-12117
9253,-5636,-4068,-19668,9760,8087,-9675
9275,-9352,-4784,-15016,13083,4652,-9327
9297,-10460,-5948,-7600,15129,428,-9756
9319,-11160,-8048,3976,15182,-1660,-9796
9341,-11592,-7944,18060,12211,-5732,-9641
9362,-9600,-8084,32767,4412,-12118,-8813
9385,-3624,-7900,32767,-8354,-16563,-6304
9407,3968,-4816,32767,-23191,-14952,-619
9429,7604,2604,32767,-32768,-8097,7487
9451,4352,12508,26024,-32768,-1193,15158
9473,-3312,19992,11152,-32768,2122,19390
9495,-10724,24896,-5152,-32768,-1173,19960
9518,-16756,25980,-19324,-32768,-4942,18285
9540,-21028,24956,-29856,-32768,-7211,15756
9561,-22316,23924,-32768,-32140,-8499,12499
9579,-20976,21792,-32768,-24184,-9515,9810
9601,-18380,21180,-32768,-17046,-10841,8025
9623,-15856,19664,-32768,-9505,-10626,7207
9647,-13124,17368,-32768,-1122,-10181,6531
9670,-8532,16472,-32768,7291,-10578,6438
9693,-2868,17892,-25612,14367,-10365,7987
9714,2476,19620,-17904,18996,-11643,11622
9737,5796,21112,-12764,21373,-13995,16342
9758,4104,22724,-10156,23781,-10475,20919
9781,1320,24624,-8880,25980,-9976,24277
9801,-408,26432,-7828,28318,-12847,26454
9825,-3236,27332,-5600,31084,-10397,28065
9847,-8988,29100,-2920,32767,-5098,28809
9869,-14240,29860,-288,32767,-3999,28325
9891,-19808,29840,5056,32767,-2509,26726
9912,-28408,28236,12124,32767,1102,23753
9935,-32768,25452,18008,28220,541,18571
9957,-32768,22140,21784,21859,-3287,10898
9979,-32768,19088,22780,14634,-6140,1670
10001,-32768,17096,21992,7605,-8535,-6629
10023,-32768,15736,17624,1253,-9662,-13338
10045,-32768,15164,7592,-2946,-8411,-18490
10067,-32768,16172,-5108,-3280,-3052,-23075
10089,-30792,17268,-12680,83,2535,-27456
10112,-32428,18404,-14396,4420,5775,-31384
10134,-32768,22540,-11832,7469,5525,-32768
10155,-32768,30564,-9088,8602,994,-32768
10168,-31148,32767,-6972,6788,-9474,-32768
10199,-14964,32767,-7664,3500,-15318,-32768
10218,116,26132,-9312,2868,-6598,-32768
10241,12452,16396,-7416,2855,-2673,-32768
10265,23508,3528,-7768,75,-10250,-32768
10280,28212,-5036,-10000,-299,-7508,-25130
10308,21888,-8232,-7348,536,-1248,-12927
10330,12084,-8048,-4304,-830,-230,-5254
10351,6720,-8664,-5496,-2197,-402,-569
10375,2304,-9660,-5756,-1289,3545,2728
10390,-1416,-9900,-2400,-825,1839,4558
10419,-6512,-9324,2712,-837,-2570,5713
10441,-8556,-9408,8648,-2248,-5554,5760
10463,-8412,-9192,15748,-5133,-5279,6314
10479,-8176,-7868,20952,-10504,-5643,7868
10507,-8828,-5088,23252,-17108,-5513,9912
10528,-8920,-840,23428,-23973,-4620,12093
10551,-7428,4564,21748,-31068,-2552,14625
10573,-5960,10960,15348,-32768,590,17497
10595,-7072,16656,4512,-32768,4231,19746
10618,-7364,20144,-7356,-32768,4669,20933
10639,-10496,20704,-18240,-32768,510,21456
10662,-15148,20592,-24852,-32768,-2642,20930
10680,-19860,20420,-27904,-27143,-1475,18972
10704,-22684,20736,-28260,-21186,-1493,15631
10724,-23272,20012,-28444,-16333,-5183,11708
10741,-21452,19112,-28424,-11553,-8226,8170
10771,-18352,18176,-28368,-6093,-8949,5691
10791,-14708,17384,-27204,-206,-10366,4460
10807,-11112,16504,-23996,5492,-12121,4402
10836,-7292,16184,-18816,10374,-13394,5155
10851,-4760,16072,-14216,14234,-12578,6723
10881,-2576,16312,-10400,16781,-12099,8561
10904,-724,16556,-8008,18435,-14033,10814
10925,444,16780,-5956,19878,-15643,13320
10948,-1304,16748,-4296,21761,-11611,15997
10968,-3576,17124,-4240,23569,-6428,18227
10990,-5944,17828,-4052,25120,-5903,19922
11012,-9988,18244,-2836,26694,-4362,20979
11035,-14588,18800,-1664,28253,-101,20980
11057,-20356,19412,364,29348,4462,20293
11079,-26824,19884,3956,28407,4890,17811
11101,-32768,19584,8528,25558,4231,13308
11124,-32768,18504,11716,21061,2563,7133
11145,-32768,17260,12068,15808,916,-296
11168,-32768,16204,10144,10564,-1539,-8716
11189,-32768,15676,5864,6221,-3699,-17068
11211,-32768,16192,600,3894,-3076,-24509
11231,-32768,19052,-4936,4387,1236,-31288
