timestamp,ax,ay,az,gx,gy,gz
3731,-4608,908,15736,176,1319,138
3754,-4660,964,15736,164,1364,94
3775,-4644,1012,15728,191,1360,125
3798,-4692,960,15648,219,1356,119
3819,-4640,948,15824,156,1352,102
3842,-4660,1000,15696,182,1388,128
3864,-4596,980,15672,234,1331,137
3885,-4672,992,15772,199,1324,86
3907,-4600,972,15672,193,1332,135
3930,-4680,968,15816,185,1352,110
3952,-4636,976,15652,181,1346,144
3974,-4676,1008,15732,167,1378,130
3996,-4616,988,15708,173,1345,114
4018,-4640,1040,15736,160,1356,124
4038,-4636,1012,15632,189,1356,130
4061,-4640,996,15808,172,1332,127
4081,-4660,972,15760,212,1330,111
4105,-4608,1012,15696,215,1337,134
4128,-4680,992,15784,179,1353,123
4147,-4648,1016,15700,187,1357,121
4172,-4636,1000,15748,225,1337,132
4194,-4668,1040,15764,171,1328,121
4215,-4684,1004,15700,173,1329,128
4237,-4604,1024,15844,202,1359,107
4259,-4712,996,15700,208,1350,137
4282,-4644,948,15628,178,1335,112
4303,-4620,992,15712,173,1339,158
4324,-4664,1068,15716,209,1332,139
4348,-4644,908,15748,188,1327,105
4370,-4660,1012,15672,192,1362,138
4391,-4620,1012,15744,188,1341,145
4414,-4644,976,15692,203,1321,109
4436,-4644,1056,15700,199,1356,139
4458,-4584,980,15760,196,1331,118
4479,-4596,968,15768,186,1330,110
4497,-4652,1068,15824,222,1350,141
4522,-4692,952,15676,212,1343,96
4546,-4660,984,15764,190,1363,115
4568,-4684,1024,15732,189,1377,136
4590,-4664,996,15656,191,1329,141
4609,-4660,1016,15776,212,1343,154
4632,-4548,980,15728,190,1357,158
4656,-4692,1040,15752,197,1322,128
4677,-4620,988,15736,189,1268,155
4700,-4488,1024,15632,182,1372,128
4722,-4660,1036,15696,198,1364,151
4744,-4684,1024,15628,174,1290,122
4765,-4696,1008,15680,207,1335,137
4787,-4600,984,15672,196,1343,124
4810,-4648,1028,15616,171,1341,160
4832,-4556,1024,15640,192,1326,147
4853,-4604,976,15780,184,1318,105
4876,-4648,992,15688,179,1382,127
4897,-4660,968,15708,198,1329,133
4913,-4672,992,15668,213,1294,125
4942,-4600,996,15596,185,1367,126
4964,-4648,1000,15704,203,1322,132
4986,-4656,1080,15752,210,1336,124
5008,-4592,1000,15700,202,1347,145
5030,-4600,992,15696,200,1343,132
5052,-4640,1036,15708,187,1347,139
5074,-4628,1048,15708,162,1328,116
