timestamp,ax,ay,az,gx,gy,gz
92,17168,-4900,-1736,-3414,-6,-950
113,13628,-2544,-1128,-1149,137,-1483
136,13032,-1872,-988,-3692,-3972,-3790
158,17532,-5872,-1120,-2199,-3415,-2168
179,14920,-5632,-2244,2345,470,6589
201,9856,-3836,-912,1038,-45,2549
224,7852,-10452,-228,-7123,-2245,-2342
246,8292,-20556,-2940,-2748,-5543,-9203
268,9932,-23304,-5356,12097,-12749,-8878
290,16660,-16848,-7944,26775,-14962,-11732
312,18956,-5892,-9344,27671,-13878,-1104
333,23780,-4596,-9348,21743,-15121,-10912
356,29384,-8040,-11436,22519,-6735,-6936
378,21924,-4312,-13660,30757,449,-2557
400,21888,3828,-14476,30694,-9272,-10325
422,32116,5628,-15484,22363,-4759,-13682
444,30420,4904,-18636,18399,5247,-12831
466,30408,6384,-20520,20788,4381,-14231
487,32767,10100,-19328,19142,10414,-6240
510,28904,12756,-17468,14567,18693,-5989
532,23228,16868,-13764,4894,21505,-12012
554,22456,9252,-11892,-7542,22027,-14508
575,22276,28,-10928,-246,25574,-4969
597,14032,8700,-7840,11253,28621,4406
618,4776,21268,-3932,4698,23143,-43
642,9420,20724,-3348,-12940,12680,-10075
663,16828,7928,-4656,-20865,17907,-4759
686,7140,5408,-4564,-13518,23093,2492
707,1124,12880,-2404,-12969,13882,-2596
729,4792,9788,-1580,-24310,10130,-8712
752,3648,2164,-2404,-24242,13837,-6662
774,-3292,5172,-1888,-19476,8917,-5705
796,-1372,6420,-2004,-23440,1749,-4391
817,3428,-800,-2736,-26592,2228,-3758
839,-2540,-5600,-2088,-25734,5235,1962
861,-7100,-7760,-2576,-18666,-3251,-4780
883,-1220,-3576,-2236,-12688,-13719,-6669
905,6176,-6052,-1520,-19460,-10918,3937
927,1688,-12112,-1996,-16989,-7481,6621
949,2416,-11776,-4320,-9466,-17560,-8157
972,11772,-6324,-2932,-5785,-18969,-6985
993,13552,-7836,-3312,-10640,-15342,2466
1015,13648,-14624,-6204,-7539,-18067,5367
1037,15844,-11548,-1804,914,-13942,5730
1060,11052,-8144,-1060,-5608,-14801,-1672
1082,16880,-19032,-6568,-5465,-21938,-4920
1104,23264,-21252,-8096,6380,-20919,-468
1126,24704,-23584,-11296,7239,-22387,-9486
1147,32767,-27792,-17076,23436,-22572,-15491
1170,31360,-9240,-17592,32767,-14356,-7100
1192,32572,7036,-15168,25271,-16474,-14110
1213,32767,-4756,-19540,10914,-6882,-15026
1236,32767,-10964,-21604,24408,3413,-4172
1258,26904,1328,-22404,32767,6898,-4617
1279,24144,15788,-23024,32767,-1845,-18713
1302,32767,21980,-23340,22616,-1110,-16569
1324,32767,11660,-22052,11214,25430,2637
1346,15424,9680,-18260,17516,32767,11781
1367,8372,14232,-12688,16418,13473,-6190
1389,22960,13248,-10588,5157,8312,-18367
1411,24872,7724,-10104,-2354,22471,-11839
1434,15288,2808,-8556,-1988,25873,-10542
