timestamp,ax,ay,az,gx,gy,gz
3107,11176,10416,3344,-2130,1359,596
3129,10900,4476,2948,-15045,9269,1289
3152,3736,-5872,3124,-10674,8195,1046
3173,2316,-1460,4048,-2543,798,327
3195,4824,3796,4244,-7211,-185,2081
3217,5168,-4800,2328,-12717,381,4536
3239,5084,-9848,1828,-7683,2914,2848
3262,-5260,-2948,1908,-8445,11966,-517
3285,-20072,-10720,-1132,-18100,6987,10424
3306,-26760,-23772,-320,-8622,-4580,8388
3327,-32768,-14356,-2428,6758,-17754,-8805
3350,-19156,-6340,-8624,9630,-32768,-26006
3372,-3588,1796,-7944,3863,-32768,-6541
3394,-4732,-6136,-9640,-2976,-32768,4624
3415,12108,-576,-18828,4009,-32768,-9472
3439,31516,3076,-22704,-20337,-32768,-19263
3461,32767,-32024,-32768,-11544,-32768,-30511
3482,32767,-15508,-31140,29629,-12555,371
3503,32767,18948,-22288,24697,12035,9785
3526,32767,12916,-24696,896,-11158,-13871
3547,32767,5856,-25120,319,18400,7368
3570,29484,-5268,-21396,-1785,24969,20647
3593,21740,-12296,-16936,10460,14071,14295
3614,18760,-1324,-9596,3854,18316,4422
3636,7168,-9620,-6840,-4890,15815,-3117
3657,11548,-13200,-7188,5511,2731,-10206
3680,19360,-1560,-6064,9387,5263,-5103
3701,15652,2788,-5120,2226,9103,-4599
3724,12304,-324,-4540,-1697,7167,-6761
3746,15944,-2888,-6144,-740,2962,-9134
3767,20660,568,-6744,2584,5792,-4908
3789,19796,7260,-7684,348,6745,-1846
3811,22868,7284,-9132,-4576,10046,-5058
3833,20716,10088,-8812,-5356,12861,-9644
3856,19488,15040,-7872,-5116,10957,-6743
3877,18640,17976,-8468,-6424,13156,956
3899,13460,15552,-9144,-12459,14183,3135
3922,12712,9452,-10524,-11530,12334,-3398
3943,9968,14548,-8888,-12245,6440,-2785
3965,15044,11808,-8904,-21535,7521,-271
3987,5524,7148,-8236,-26350,10697,1213
4009,6520,-3316,-11208,-30754,150,-5794
4031,8000,-7044,-13000,-29622,292,5106
4053,8844,-19560,-14776,-32768,-817,8647
4076,10164,-11464,-13068,-24271,-8634,-6989
4098,31460,-8780,-16592,-32768,-5094,14678
4120,28864,-32768,-22256,-32768,24393,28900
4143,-2700,-32768,-6796,-11760,23466,14590
4163,8840,-14972,872,-22809,8494,11083
4186,-14476,-27376,5120,-19795,23071,14950
4208,-15584,-24164,1196,-7964,-24320,-13074
4230,32767,-22180,-3124,4007,-30584,-20470
4252,29400,-7060,-632,-213,4364,2061
4273,13064,-18540,-3440,-2781,132,3179
4296,16756,-10228,-2912,14472,-2628,-5562
4317,16240,1900,64,3510,-2204,-8
4339,20772,-16024,-2508,-7025,-5164,-5952
4361,28924,-18724,-6752,13512,-1163,-8632
4383,25116,5764,-4060,14752,8481,-4118
4406,16668,-5752,-1768,-9595,9084,-3099
4427,19812,-29104,-4216,7249,-2168,-10228
4450,30536,-8888,-6160,25785,-488,-15985
4471,32656,132,-3960,11997,11816,-5345
4493,29520,-15736,-3704,7480,16163,2730
4516,32767,-24672,-7168,16387,15443,-2295
4537,30856,-18668,-6516,24176,24222,-45
4559,19848,-9088,-780,23594,22756,756
4581,18304,-8428,1180,22417,10146,-2473
4603,29468,-1732,212,23676,-1687,4076
4626,32767,-2444,-640,10479,12876,27109
4647,11688,-17724,100,-221,32767,32767
4669,-26460,-25732,1040,4319,9235,16490
4692,-10984,-24580,-6816,21080,-31294,-18395
4714,23636,4936,-9764,26792,-28365,-29338
4735,28644,-4092,-9036,2511,4712,4199
4757,2820,-16052,-11848,32767,9050,5929
4780,4428,30852,-6728,32767,-3135,-18065
4802,7708,32767,1804,-2066,2782,-19901
4823,10704,5820,-3516,-2005,362,-19018
4845,17080,32767,-876,23701,-1504,135
4868,11592,32767,5224,-13640,17940,26027
4890,-8568,-188,4060,-20598,11396,3504
4912,4148,-7856,3232,-3317,-3921,-22386
4933,15612,168,2768,11577,1050,-4765
