timestamp,ax,ay,az,gx,gy,gz
3814,-76,16060,3280,178,1374,20
3835,-80,16080,3132,165,1364,71
3857,-96,16112,3144,185,1372,36
3879,-80,16084,3168,208,1376,53
3901,-148,16096,3256,204,1416,79
3924,-40,16072,3140,168,1355,53
3946,-132,16080,3076,172,1357,48
3967,-92,16112,3232,186,1321,58
3990,-28,16128,3168,174,1368,32
4011,-60,16072,3140,197,1363,36
4033,-68,16152,3196,165,1378,63
4055,-36,16056,3180,162,1353,69
4078,-20,16040,3208,210,1369,74
4100,-84,16108,3232,166,1373,45
4122,-100,16036,3192,205,1345,62
4143,-64,16128,3128,207,1389,75
4166,-84,16064,3240,232,1356,62
4187,-108,16116,3180,227,1378,46
4209,-120,16072,3152,178,1368,49
4230,-116,16112,3276,205,1372,32
4253,-28,16072,3116,173,1373,50
4276,-128,16116,3172,173,1353,58
4297,-96,16076,3128,216,1396,38
4320,-108,16072,3100,194,1382,66
4342,-116,16096,3076,171,1378,50
4363,-96,16052,3276,229,1399,49
4386,-108,16112,3100,176,1338,48
4408,-96,16132,3112,176,1356,61
4429,-164,16056,3240,187,1371,67
4451,-88,16008,3116,155,1360,27
4473,-140,16060,3116,222,1379,61
4495,-64,16080,3124,190,1373,54
4517,-72,16072,3116,188,1360,68
4540,-92,16064,3016,181,1372,40
4562,-92,16124,3032,173,1398,70
4583,-72,16152,3152,188,1359,49
4605,-52,16108,3244,196,1356,39
4627,-108,16068,3196,197,1363,59
4649,-104,16180,3184,225,1357,86
4671,-136,16084,3208,200,1401,65
4693,-56,16124,3204,183,1363,64
4715,-124,16104,3272,205,1393,66
4737,-128,16136,3280,196,1372,64
4759,-80,16080,3176,211,1327,90
4781,-128,16108,3040,201,1397,74
4803,-124,16120,3200,211,1322,51
4825,-116,16072,3228,180,1373,56
4847,-92,16120,3148,184,1346,58
4869,-80,16036,3056,201,1353,49
4892,-84,16076,3168,173,1379,68
4914,-60,16076,3244,176,1370,64
4935,-40,16088,3176,192,1331,32
4957,-12,16108,3096,198,1376,49
4979,-136,16076,3272,186,1374,44
5001,-80,16156,3124,167,1381,47
5023,-64,16048,3124,198,1368,58
5045,-92,16092,3264,190,1359,15
5067,-152,16072,3052,201,1356,65
5090,-52,16092,3108,195,1388,42
5112,-104,16088,3184,171,1355,43
5133,-72,16072,3116,192,1338,45
5155,-108,16016,3204,195,1378,57
5177,-80,16036,3212,190,1378,61
5199,-76,16120,3152,200,1356,43
